mz.name,metabolite,Human.Metabolome.Database,KEGG,ionization.mode
mz127,Allantoin,HMDB0000462,C01551,Negative
mz116,Allopurinol,HMDB0014581,NA,Negative
mz120,Alpha-Ketoglutaric acid,HMDB0000208,C00026,Negative
mz31,Aminolevulinate,HMDB0001149,C00430,Positive
mz184,AMP,HMDB0000045,C00020,Negative
mz118,Anthranilate,HMDB01123,C00108,Negative
mz170,Arachidonate,HMDB0001043,C00219,Negative
mz53,Arginine,HMDB0000517,C00062,Positive
mz140,Ascorbic acid,HMDB00044,C00072,Negative
mz35,Asparagine,HMDB0000168,C00152,Positive
mz36,Aspartic acid,HMDB0000191,C00049,Positive
mz199,ATP,HMDB0000538,C00002,Negative
mz151,Azelaic acid,HMDB0000784,C08261,Negative
mz105,Benzoic acid,HMDB0001870,C00180,Negative
mz18,Betaine,HMDB0000043,C00719,Positive
mz162,Biotin,HMDB0000030,C00120,Negative
mz7,Cadaverine,HMDB0002322,C01672,Positive
mz50,Carnitine,HMDB0062496,C00318,Positive
mz182,cGMP,HMDB0001314,C00942,Negative
mz190,Chenodeoxycholate,HMDB0000518,C02528,Negative
mz9,Choline,HMDB0000097,C00114,Positive
mz107,Citraconic acid,HMDB0000634,C02226,Negative
mz153,Citric acid,HMDB0000094,C00158,Negative
mz139,Citrulline,HMDB0000904,C00327,Negative
mz178,CMP,HMDB0000095,C00055,Negative
mz30,Creatine,HMDB0000064,C00300,Positive
mz15,Creatinine,HMDB0000562,C00791,Positive
mz157,Cystathionine,HMDB0000099,C00542,Negative
mz22,Cysteine,HMDB0000574,C00097,Positive
mz54,Cysteinyl-Glycine,HMDB0000078,C01419,Positive
mz69,Cystine,HMDB0000192,C01420,Positive
mz70,Cytidine,HMDB0000089,C00475,Positive
mz13,Cytosine,HMDB0000630,C00380,Positive
mz135,D-Glyceraldehyde 3-phosphate,HMDB0001112,C00118,Negative
mz109,D-Leucic acid,HMDB0000624,C03264,Negative
mz188,DCDP,HMDB0001245,C00705,Negative
mz171,DCMP,HMDB0001202,C00239,Negative
mz134,DHAP,HMDB0001473,C00111,Negative
mz10,Dimethylglycine,HMDB0000092,C01026,Positive
mz125,Dopamine,HMDB0000073,C03758,Negative
mz177,DTMP,HMDB0001227,C00364,Negative
mz173,DUMP,HMDB0001409,C00365,Negative
mz198,DUTP,HMDB0001191,C00460,Negative
mz59,Epinephrine,HMDB0000068,C00788,Positive
mz104,Erythrose,HMDB02649,C01796,Negative
mz193,Folic acid,HMDB0000121,C00504,Negative
mz145,Fructose,HMDB00660,C00095,Negative
mz179,"Fructose 1,6-bisphosphate",HMDB0060444,C05378,Negative
mz96,Fumaric acid,HMDB0000134,C00122,Negative
mz144,Galactose,HMDB0000143,C00124,Negative
mz91,gamma-Aminobutyrate,HMDB0000112,C00334,Negative
mz8,gamma-Aminobutyric Acid,HMDB0000112,C00334æ,Positive
mz186,Gamma-glutamyl-Hydroxyproline,HMDB0028798,NA,Negative
mz194,GDP,HMDB0001201,C00035,Negative
mz175,Geranyl pyrophosphate,HMDB0001285,C00341,Negative
mz183,Gibberellin,HMDB0003559,C01699,Negative
mz55,Glucosamine,HMDB01514,C00329,Positive
mz143,Glucose,HMDB0000122,C00031,Negative
mz164,Glucose 6-phosphate,HMDB0001401,C00668,Negative
mz154,Glucuronic acid,HMDB00127,C00191,Negative
mz44,Glutamic acid,HMDB0000148,C00025,Positive
mz41,Glutamine,HMDB0000641,C00064,Positive
mz110,Glutaric acid,HMDB0000661,C00489,Negative
mz172,glutathione,HMDB0000125,C00051,Negative
mz87,Glyceraldehyde,HMDB0001051,C02154,Negative
mz94,Glycerate,HMDB0000139,C00258,Negative
mz136,Glycerol 3-phosphate,HMDB0000126,C03189,Negative
mz2,Glycine,HMDB0000123,C00037,Positive
mz195,Glycochenodeoxycholate,HMDB06898,C05466,Negative
mz197,Glycocholate,HMDB00138,C01921,Negative
mz81,GMP,HMDB0001397,C00144,Positive
mz201,GTP,HMDB0001273,C00044,Negative
mz99,Guanidinoacetate,HMDB0000128,C00581,Negative
mz76,Guanosine,HMDB0000133,C00387,Positive
mz141,Hippuric acid,HMDB0000714,C01586,Negative
mz14,Histamine,HMDB0000870,C00388,Positive
mz48,Histidine,HMDB0000177,C00135,Positive
mz37,Homocysteine,HMDB0000742,C00155,Positive
mz132,Homogentisate,HMDB0000130,C00544,Negative
mz20,Homoserine,HMDB0000719,C00263,Positive
mz147,Homovanilate,HMDB0000118,C05582,Negative
mz47,Hypotaurine,HMDB0000965,C00519,Positive
mz117,Hypoxanthine,HMDB0000157,C00262,Negative
mz185,IMP,HMDB0000175,C00130,Negative
mz74,Inosine,HMDB0000195,C00294,Positive
mz142,Inositol,HMDB00211,C00137,Negative
mz46,internal_standard,NA,NA,Positive
mz46,internal_standard,NA,NA,Positive
mz46,internal_standard,NA,NA,Positive
mz46,internal_standard,NA,NA,Positive
mz60,internal_standard,NA,NA,Positive
mz60,internal_standard,NA,NA,Positive
mz60,internal_standard,NA,NA,Positive
mz60,internal_standard,NA,NA,Positive
mz88,internal_standard,NA,NA,Negative
mz88,internal_standard,NA,NA,Negative
mz88,internal_standard,NA,NA,Negative
mz88,internal_standard,NA,NA,Negative
mz149,internal_standard,NA,NA,Negative
mz149,internal_standard,NA,NA,Negative
mz149,internal_standard,NA,NA,Negative
mz149,internal_standard,NA,NA,Negative
mz33,iso-Leucine,HMDB0000172,C00407,Positive
mz83,isoButyric acid,HMDB0001873,C02632,Negative
mz90,Isovaleric acid,HMDB0000718,C08262,Negative
mz152,Kynurenate,HMDB0000715,C01717,Negative
mz65,L-Kynurenine,HMDB0000684,C00328,Positive
mz85,lactate,HMDB0144295,C01432,Negative
mz180,Lactose,HMDB0041627,C01970,Negative
mz32,Leucine,HMDB0000687,C00123,Positive
mz166,Linoleic acid,HMDB0000673,C01595,Negative
mz167,Linolenic acid,HMDB0001388,C06427,Negative
mz42,Lysine,HMDB0000182,C00047,Positive
mz114,Malate,HMDB0000744,C00711,Negative
mz97,Maleic acid,HMDB0000176,C01384,Negative
mz92,Malonic acid,HMDB0000691,C00383,Negative
mz56,Mannose,HMDB0000169,C00159,Positive
mz165,Margaric acid,HMDB0002259,C00249,Negative
mz161,Melatonin,HMDB0001389,C01598,Negative
mz45,Methionine,HMDB0033951,C01733,Positive
mz103,Methyl isobutyrate,HMDB0031249,NA,Negative
mz102,Methylmalonate,HMDB0000202,C02170,Negative
mz112,MethylSuccinate,HMDB0001844,NA,Negative
mz121,Mevalonate,HMDB00227,C00418,Negative
mz159,Myristic acid,HMDB0000806,C06424,Negative
mz98,N-AcetylGlycine,HMDB0000532,NA,Negative
mz174,N-Acetylneuraminic acid,HMDB0000230,C00270,Negative
mz29,N-Acetylputrescine,HMDB0002064,C02714,Positive
mz113,N-Carbamoyl-B-Alanine,HMDB0000026,C02642,Negative
mz80,"N2,N2-Dimethylguanosine",HMDB0004824,NA,Positive
mz106,Niacin,HMDB0001488,C00253,Negative
mz23,Niacinamide,HMDB0001406,C00153,Positive
mz187,OMP,HMDB00218,C01103,Negative
mz34,Ornithine,HMDB0000214,C00077,Positive
mz126,Orotate,HMDB0000226,C00295,Negative
mz86,Oxalic acid,HMDB0002329,C00209,Negative
mz111,Oxaloacetate,HMDB0000223,C00036,Negative
mz202,Oxidized glutathione,HMDB03337,C00127,Negative
mz123,Oxypurinol,HMDB0000786,C07599,Negative
mz156,Pantothenic acid,HMDB00210,C00864,Negative
mz131,PEP,HMDB0000263,C00074,Negative
mz51,Phenylalanine,HMDB0000159,C02057,Positive
mz129,Phenylpropanolamine,HMDB0001942,C16719,Negative
mz146,Phenylpyruvate,HMDB0000205,C00166,Negative
mz72,Phosphotyrosine,HMDB0006049,C06501,Positive
mz27,Pipecolic acid,HMDB0000070,C00408,Positive
mz16,Proline,HMDB0000162,C00148,Positive
mz82,Propionate,HMDB0000237,C00163,Negative
mz189,PRPP,HMDB0000280,C00119,Negative
mz4,Putrescine,HMDB0001414,C00134,Positive
mz163,Pyridoxal phosphate,HMDB0001491,C00018,Negative
mz26,Pyroglutamic acid,HMDB0000267,C01879,Positive
mz84,Pyruvate,HMDB00243,C00022,Negative
mz130,Quinolinate,HMDB0000232,C03722,Negative
mz160,Ribose-5-P,HMDB01548,C00117,Negative
mz61,Salicylurate,HMDB0000840,C07588,Positive
mz5,Sarcosine,HMDB0000271,C00213,Positive
mz12,Serine,HMDB0000187,C00065,Positive
mz138,Shikimic acid,HMDB0003070,C00493,Negative
mz58,Sorbitol,HMDB0000247,C00794,Positive
mz39,Spermidine,HMDB0001257,C00315,Positive
mz62,Spermine,HMDB0001256,C00750,Positive
mz101,Succinate,HMDB0000254,C00042,Negative
mz181,Sucrose,HMDB0000258,C00089,Negative
mz24,Taurine,HMDB0000251,C00245,Positive
mz200,Taurocholate,HMDB00036,C05122,Negative
mz21,Threonine,HMDB0000167,C00188,Positive
mz1,Trimethylamine,HMDB0000906,C00565,Positive
mz3,Trimethylamine-N-oxide,HMDB0000925,C01104,Positive
mz49,Tryptamine,HMDB0000303,C00398,Positive
mz64,Tryptophan,HMDB0030396,C00806,Positive
mz38,Tyramine,HMDB0000306,C00483,Positive
mz57,Tyrosine,HMDB0000158,C00082,Positive
mz191,UDP,HMDB0000295,C00015,Negative
mz95,Uracil,HMDB0000300,C00106,Negative
mz133,Urate,HMDB0000289,C00366,Negative
mz71,Uridine,HMDB0000296,C00299,Positive
mz19,Valine,HMDB0000883,C00183,Positive
mz124,Xanthine,HMDB0000292,C00385,Negative
mz168,Xanthosine,HMDB0000299,C01762,Negative
mz155,Xanthurenate,HMDB0000881,C02470,Negative
